# Generated from laguna-xs-2.1-uniform-routed-q4k-probe.gguf on 2026-07-27.
# GGUFReader result: type 12 (Q4_K); tensor bytes are unpadded GGUF tensor data bytes.
layer	tensor	type	tensor_bytes
36	blk.36.ffn_down_exps.weight	Q4_K	150994944
36	blk.36.ffn_gate_exps.weight	Q4_K	150994944
36	blk.36.ffn_up_exps.weight	Q4_K	150994944
37	blk.37.ffn_down_exps.weight	Q4_K	150994944
37	blk.37.ffn_gate_exps.weight	Q4_K	150994944
37	blk.37.ffn_up_exps.weight	Q4_K	150994944
38	blk.38.ffn_down_exps.weight	Q4_K	150994944
38	blk.38.ffn_gate_exps.weight	Q4_K	150994944
38	blk.38.ffn_up_exps.weight	Q4_K	150994944
39	blk.39.ffn_down_exps.weight	Q4_K	150994944
39	blk.39.ffn_gate_exps.weight	Q4_K	150994944
39	blk.39.ffn_up_exps.weight	Q4_K	150994944
